vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1.0,2020-01-01T00:04:28.000,2020-01-01T00:17:36.000,1.0,3.3,1.0,N,144,229,1.0,12.0,3.0,0.5,3.15,0.0,0.3,18.95,2.5
1.0,2020-01-01T00:19:19.000,2020-01-01T00:34:22.000,1.0,1.7,1.0,N,229,142,2.0,11.0,3.0,0.5,0.0,0.0,0.3,14.8,2.5
1.0,2020-01-01T00:37:35.000,2020-01-01T00:40:31.000,1.0,0.6,1.0,N,142,239,1.0,4.5,3.0,0.5,2.45,0.0,0.3,10.75,2.5
1.0,2020-01-01T00:43:08.000,2020-01-01T00:54:30.000,1.0,2.3,1.0,N,239,41,1.0,10.0,3.0,0.5,2.75,0.0,0.3,16.55,2.5
1.0,2020-01-01T00:55:29.000,2020-01-01T01:06:22.000,1.0,1.5,1.0,N,41,74,1.0,9.0,0.5,0.5,2.05,0.0,0.3,12.35,0.0
2.0,2020-01-01T00:22:33.000,2020-01-01T00:28:01.000,2.0,0.81,1.0,N,239,142,2.0,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5
2.0,2020-01-01T00:30:11.000,2020-01-01T01:31:29.000,1.0,0.8,1.0,N,48,68,2.0,18.5,1.3,0.5,0.0,0.0,0.0,22.8,2.5
1.0,2020-01-01T00:54:57.000,2020-01-01T00:58:50.000,6.0,0.9,1.0,N,95,95,2.0,5.0,0.5,0.5,0.0,0.0,0.3,6.3,0.0
1.0,2020-01-01T00:23:37.000,2020-01-01T00:26:18.000,1.0,0.9,1.0,N,229,140,1.0,4.5,3.0,0.5,1.65,0.0,0.3,9.95,2.5
1.0,2020-01-01T00:33:33.000,2020-01-01T00:36:20.000,2.0,0.6,1.0,N,141,140,1.0,4.5,3.0,0.5,1.65,0.0,0.3,9.95,2.5
1.0,2020-01-01T00:43:56.000,2020-01-01T00:46:24.000,1.0,0.7,1.0,N,141,141,1.0,4.5,3.0,0.5,1.0,0.0,0.3,9.3,2.5
1.0,2020-01-01T00:58:34.000,2020-01-01T01:07:17.000,1.0,1.1,1.0,N,233,229,1.0,7.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5
2.0,2020-01-01T00:31:20.000,2020-01-01T00:47:31.000,2.0,2.77,1.0,N,144,68,1.0,12.5,0.5,0.5,3.26,0.0,0.3,19.56,2.5
2.0,2020-01-01T00:50:58.000,2020-01-01T01:06:09.000,1.0,1.39,1.0,N,246,48,2.0,10.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5
2.0,2020-01-01T00:12:40.000,2020-01-01T00:18:07.000,1.0,0.69,1.0,N,79,79,1.0,5.5,0.5,0.5,2.32,0.0,0.3,11.62,2.5
2.0,2020-01-01T00:43:33.000,2020-01-01T01:21:12.000,1.0,3.23,1.0,N,237,48,2.0,22.5,0.5,0.5,0.0,0.0,0.3,26.3,2.5
2.0,2020-01-01T00:05:31.000,2020-01-01T00:25:18.000,3.0,3.36,1.0,N,237,107,1.0,15.0,0.5,0.5,3.76,0.0,0.3,22.56,2.5
2.0,2020-01-01T00:42:23.000,2020-01-01T00:47:08.000,4.0,0.66,1.0,N,234,90,1.0,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5
2.0,2020-01-01T00:51:18.000,2020-01-01T01:04:08.000,2.0,2.0,1.0,N,90,148,1.0,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
1.0,2020-01-01T00:33:31.000,2020-01-01T00:59:47.000,1.0,8.7,1.0,N,166,213,2.0,28.0,0.5,0.5,0.0,0.0,0.3,29.3,0.0
1.0,2020-01-01T00:26:44.000,2020-01-01T00:48:11.000,1.0,2.4,1.0,N,249,100,1.0,14.5,3.0,0.5,3.65,0.0,0.3,21.95,2.5
1.0,2020-01-01T00:59:30.000,2020-01-01T01:08:40.000,1.0,1.0,1.0,N,234,137,1.0,7.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5
1.0,2020-01-01T00:20:02.000,2020-01-01T00:26:23.000,1.0,1.3,1.0,N,87,148,1.0,6.5,3.0,0.5,2.0,0.0,0.3,12.3,2.5
1.0,2020-01-01T00:30:08.000,2020-01-01T00:43:24.000,1.0,2.0,1.0,N,148,170,1.0,10.5,3.0,0.5,1.0,0.0,0.3,15.3,2.5
1.0,2020-01-01T00:55:41.000,2020-01-01T01:31:23.000,2.0,5.2,1.0,N,113,239,1.0,25.5,3.0,0.5,5.85,0.0,0.3,35.15,2.5
2.0,2020-01-01T00:21:24.000,2020-01-01T00:33:45.000,1.0,1.58,1.0,N,234,162,1.0,9.5,0.5,0.5,3.99,0.0,0.3,17.29,2.5
1.0,2020-01-01T00:28:35.000,2020-01-01T00:44:47.000,2.0,2.1,1.0,N,43,170,2.0,11.5,3.0,0.5,0.0,0.0,0.3,15.3,2.5
1.0,2020-01-01T00:59:54.000,2020-01-01T01:20:08.000,2.0,3.3,1.0,N,234,263,1.0,15.0,3.0,0.5,3.75,0.0,0.3,22.55,2.5
2.0,2020-01-01T00:20:37.000,2020-01-01T00:26:18.000,3.0,1.18,1.0,N,237,239,2.0,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5
2.0,2020-01-01T00:29:55.000,2020-01-01T00:48:40.000,3.0,2.42,1.0,N,239,229,1.0,13.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5
2.0,2020-01-01T00:50:47.000,2020-01-01T01:08:23.000,2.0,3.23,1.0,N,229,239,1.0,13.5,0.5,0.5,0.0,0.0,0.3,17.3,2.5
1.0,2020-01-01T00:27:00.000,2020-01-01T00:49:22.000,2.0,2.3,1.0,N,161,79,2.0,15.0,3.0,0.5,0.0,0.0,0.3,18.8,2.5
1.0,2020-01-01T00:53:50.000,2020-01-01T01:04:39.000,3.0,1.3,1.0,N,107,170,2.0,8.5,3.0,0.5,0.0,0.0,0.3,12.3,2.5
2.0,2020-01-01T00:09:11.000,2020-01-01T00:28:51.000,1.0,7.1,1.0,N,166,248,2.0,22.0,0.5,0.5,0.0,0.0,0.3,23.3,0.0
2.0,2020-01-01T00:42:15.000,2020-01-01T01:16:20.000,1.0,14.52,1.0,N,185,226,1.0,41.0,0.5,0.5,8.46,0.0,0.3,52.71,0.0
2.0,2020-01-01T00:15:13.000,2020-01-01T00:26:52.000,1.0,2.09,1.0,N,162,142,2.0,10.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5
2.0,2020-01-01T00:28:39.000,2020-01-01T00:54:21.000,1.0,4.82,1.0,N,142,7,1.0,20.5,0.5,0.5,4.86,0.0,0.3,29.16,2.5
2.0,2020-01-01T00:13:16.000,2020-01-01T00:17:45.000,2.0,1.31,1.0,N,236,237,1.0,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5
2.0,2020-01-01T00:20:03.000,2020-01-01T00:29:43.000,2.0,3.32,1.0,N,237,42,2.0,11.0,0.5,0.5,0.0,0.0,0.3,14.8,2.5
2.0,2020-01-01T00:39:11.000,2020-01-01T01:00:00.000,1.0,2.8,1.0,N,236,162,2.0,15.0,0.5,0.5,0.0,0.0,0.3,18.8,2.5
2.0,2020-01-01T00:35:13.000,2020-01-01T00:54:55.000,2.0,4.55,1.0,N,189,80,1.0,17.5,0.5,0.5,0.0,0.0,0.3,18.8,0.0
2.0,2020-01-01T00:08:40.000,2020-01-01T00:21:20.000,2.0,1.75,1.0,N,211,107,2.0,10.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5
2.0,2020-01-01T00:30:10.000,2020-01-01T00:38:35.000,2.0,1.12,1.0,N,162,170,1.0,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5
2.0,2020-01-01T00:53:35.000,2020-01-01T01:12:18.000,2.0,4.07,1.0,N,79,262,1.0,15.5,0.5,0.5,4.82,0.0,0.3,24.12,2.5
2.0,2020-01-01T00:13:26.000,2020-01-01T00:16:52.000,1.0,1.17,1.0,N,142,238,1.0,5.5,0.5,0.5,1.0,0.0,0.3,10.3,2.5
2.0,2020-01-01T00:20:28.000,2020-01-01T00:24:30.000,1.0,1.35,1.0,N,239,24,1.0,6.0,0.5,0.5,2.45,0.0,0.3,12.25,2.5
2.0,2020-01-01T00:25:53.000,2020-01-01T00:35:45.000,1.0,5.19,1.0,N,24,243,2.0,16.0,0.5,0.5,0.0,0.0,0.3,17.3,0.0
2.0,2020-01-01T00:11:46.000,2020-01-01T00:17:54.000,1.0,0.5,1.0,N,211,231,1.0,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5
2.0,2020-01-01T00:22:30.000,2020-01-01T00:43:08.000,1.0,3.46,1.0,N,211,246,2.0,15.0,0.5,0.5,0.0,0.0,0.3,18.8,2.5
2.0,2020-01-01T00:44:37.000,2020-01-01T01:46:33.000,1.0,6.7,1.0,N,50,7,1.0,38.5,0.5,0.5,8.46,0.0,0.3,50.76,2.5
1.0,2020-01-01T00:08:54.000,2020-01-01T00:24:20.000,4.0,3.5,1.0,N,234,140,1.0,13.5,3.0,0.5,3.46,0.0,0.3,20.76,2.5
1.0,2020-01-01T00:26:50.000,2020-01-01T00:38:36.000,1.0,3.6,1.0,N,140,41,2.0,12.5,3.0,0.5,0.0,0.0,0.3,16.3,2.5
1.0,2020-01-01T00:58:36.000,2020-01-01T01:04:38.000,2.0,1.3,1.0,N,262,140,1.0,7.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5
2.0,2020-01-01T00:02:15.000,2020-01-01T00:13:28.000,1.0,6.46,1.0,N,142,244,1.0,19.0,0.5,0.5,2.28,0.0,0.3,25.08,2.5
2.0,2020-01-01T00:24:45.000,2020-01-01T00:32:07.000,1.0,1.25,1.0,N,166,238,1.0,7.5,0.5,0.5,2.83,0.0,0.3,14.13,2.5
2.0,2020-01-01T00:37:17.000,2020-01-01T00:39:44.000,1.0,0.51,1.0,N,239,239,1.0,4.0,0.5,0.5,1.17,0.0,0.3,8.97,2.5
1.0,2020-01-01T00:39:20.000,2020-01-01T00:40:06.000,1.0,2.4,5.0,N,90,90,3.0,100.0,0.0,0.0,0.0,0.0,0.3,100.3,0.0
2.0,2020-01-01T00:41:18.000,2020-01-01T01:25:00.000,1.0,2.43,1.0,N,239,186,2.0,25.5,0.5,0.5,0.0,0.0,0.3,29.3,2.5
2.0,2020-01-01T00:12:19.000,2020-01-01T00:18:54.000,2.0,1.4,1.0,N,263,140,1.0,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
2.0,2020-01-01T00:21:22.000,2020-01-01T00:35:22.000,2.0,2.67,1.0,N,140,143,2.0,12.0,0.5,0.5,0.0,0.0,0.3,15.8,2.5
2.0,2020-01-01T00:37:27.000,2020-01-01T00:50:39.000,2.0,2.33,1.0,N,143,236,1.0,11.0,0.5,0.5,2.0,0.0,0.3,16.8,2.5
2.0,2020-01-01T00:53:56.000,2020-01-01T01:13:51.000,1.0,3.75,1.0,N,236,107,1.0,15.5,0.5,0.5,2.0,0.0,0.3,21.3,2.5
1.0,2020-01-01T00:14:05.000,2020-01-01T00:40:50.000,2.0,2.1,1.0,N,48,107,1.0,16.5,3.0,0.5,4.05,0.0,0.3,24.35,2.5
2.0,2020-01-01T00:14:44.000,2020-01-01T00:23:35.000,1.0,1.78,1.0,N,161,141,2.0,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5
2.0,2020-01-01T00:25:31.000,2020-01-01T00:38:12.000,1.0,3.16,1.0,N,141,224,2.0,11.5,0.5,0.5,0.0,0.0,0.3,15.3,2.5
2.0,2020-01-01T00:41:28.000,2020-01-01T00:54:20.000,1.0,3.37,1.0,N,107,263,1.0,12.0,0.5,0.5,2.1,0.0,0.3,17.9,2.5
1.0,2020-01-01T00:18:14.000,2020-01-01T00:21:58.000,2.0,0.6,1.0,N,142,143,1.0,5.0,3.0,0.5,2.6,0.0,0.3,11.4,2.5
1.0,2020-01-01T00:25:49.000,2020-01-01T00:29:42.000,2.0,0.8,1.0,N,239,151,1.0,5.0,3.0,0.5,2.0,0.0,0.3,10.8,2.5
1.0,2020-01-01T00:35:03.000,2020-01-01T00:53:06.000,1.0,3.0,1.0,N,238,229,1.0,14.0,3.0,0.5,3.55,0.0,0.3,21.35,2.5
1.0,2020-01-01T00:56:39.000,2020-01-01T01:21:13.000,2.0,3.8,1.0,N,229,45,4.0,16.5,3.0,0.5,0.0,0.0,0.3,20.3,2.5
2.0,2020-01-01T00:08:44.000,2020-01-01T00:19:57.000,2.0,2.64,1.0,N,151,262,1.0,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5
2.0,2020-01-01T00:21:23.000,2020-01-01T00:36:23.000,3.0,2.83,1.0,N,262,161,2.0,12.5,0.5,0.5,0.0,0.0,0.3,16.3,2.5
2.0,2020-01-01T00:46:08.000,2020-01-01T00:56:59.000,3.0,0.55,1.0,N,162,161,1.0,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
2.0,2020-01-01T00:58:31.000,2020-01-01T01:09:45.000,1.0,2.18,1.0,N,161,262,1.0,9.5,0.5,0.5,2.39,0.0,0.3,15.69,2.5
2.0,2020-01-01T00:08:27.000,2020-01-01T00:13:52.000,3.0,1.1,1.0,N,148,231,2.0,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5
2.0,2020-01-01T00:16:16.000,2020-01-01T00:30:41.000,2.0,1.89,1.0,N,231,79,1.0,11.0,0.5,0.5,1.0,0.0,0.3,15.8,2.5
2.0,2020-01-01T00:43:50.000,2020-01-01T00:59:52.000,1.0,3.17,1.0,N,262,151,1.0,14.0,0.5,0.5,3.56,0.0,0.3,21.36,2.5
2.0,2020-01-01T00:12:28.000,2020-01-01T00:21:11.000,1.0,1.5,1.0,N,40,65,1.0,7.5,0.5,0.5,1.76,0.0,0.3,10.56,0.0
2.0,2020-01-01T00:36:33.000,2020-01-01T00:53:23.000,1.0,6.43,1.0,N,261,170,1.0,20.5,0.5,0.5,4.86,0.0,0.3,29.16,2.5
2.0,2020-01-01T00:55:51.000,2020-01-01T01:02:28.000,1.0,0.83,1.0,N,170,170,1.0,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5
1.0,2020-01-01T00:14:06.000,2020-01-01T00:22:53.000,3.0,1.5,1.0,N,148,107,1.0,8.0,3.0,0.5,2.35,0.0,0.3,14.15,2.5
1.0,2020-01-01T00:30:20.000,2020-01-01T00:54:21.000,2.0,8.0,1.0,N,137,181,2.0,25.5,3.0,0.5,0.0,0.0,0.3,29.3,2.5
1.0,2020-01-01T00:19:32.000,2020-01-01T00:26:03.000,1.0,1.4,1.0,N,43,236,1.0,7.0,3.0,0.5,2.7,0.0,0.3,13.5,2.5
1.0,2020-01-01T00:29:14.000,2020-01-01T00:52:47.000,1.0,4.7,1.0,N,236,79,1.0,18.0,3.0,0.5,6.5,0.0,0.3,28.3,2.5
2.0,2020-01-01T00:05:56.000,2020-01-01T00:25:52.000,2.0,2.95,1.0,N,87,158,2.0,13.5,0.5,0.5,0.0,0.0,0.3,17.3,2.5
2.0,2020-01-01T00:29:09.000,2020-01-01T00:59:04.000,3.0,5.25,1.0,N,158,236,1.0,22.5,0.5,0.5,5.26,0.0,0.3,31.56,2.5
1.0,2020-01-01T00:16:44.000,2020-01-01T00:18:51.000,1.0,0.5,1.0,N,170,107,3.0,3.5,3.0,0.5,0.0,0.0,0.3,7.3,2.5
1.0,2020-01-01T00:53:38.000,2020-01-01T01:04:20.000,1.0,1.4,1.0,N,234,107,1.0,8.5,3.0,0.5,0.0,0.0,0.3,12.3,2.5
1.0,2020-01-01T00:31:16.000,2020-01-01T01:05:43.000,1.0,9.9,1.0,N,231,82,2.0,33.0,2.5,0.5,0.0,0.0,0.3,36.3,2.5
1.0,2020-01-01T00:42:55.000,2020-01-01T01:07:31.000,2.0,3.9,1.0,N,151,229,2.0,18.0,3.0,0.5,0.0,0.0,0.3,21.8,2.5
2.0,2020-01-01T00:12:38.000,2020-01-01T00:19:11.000,1.0,1.26,1.0,N,166,238,2.0,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5
2.0,2020-01-01T00:21:28.000,2020-01-01T00:27:29.000,4.0,1.48,1.0,N,238,24,2.0,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5
2.0,2020-01-01T00:29:32.000,2020-01-01T00:46:42.000,1.0,3.28,1.0,N,166,262,2.0,14.5,0.5,0.5,0.0,0.0,0.3,18.3,2.5
2.0,2020-01-01T00:21:32.000,2020-01-01T00:30:20.000,1.0,1.61,1.0,N,181,49,1.0,8.0,0.5,0.5,1.86,0.0,0.3,11.16,0.0
2.0,2020-01-01T00:47:40.000,2020-01-01T01:09:23.000,1.0,3.23,1.0,N,144,232,1.0,16.0,0.5,0.5,0.0,0.0,0.3,19.8,2.5
2.0,2020-01-01T00:27:25.000,2020-01-01T00:37:34.000,3.0,1.88,1.0,N,239,237,1.0,9.0,0.5,0.5,2.56,0.0,0.3,15.36,2.5
2.0,2020-01-01T00:52:06.000,2020-01-01T01:01:48.000,1.0,2.26,1.0,N,237,75,2.0,9.5,0.5,0.5,0.0,0.0,0.3,13.3,2.5
2.0,2020-01-01T00:53:21.000,2020-01-01T01:16:14.000,1.0,12.92,1.0,N,132,265,1.0,36.0,0.5,0.5,7.46,0.0,0.3,44.76,0.0
2.0,2020-01-01T00:13:58.000,2020-01-01T00:32:39.000,2.0,7.76,1.0,N,138,151,1.0,24.0,0.5,0.5,6.28,6.12,0.3,37.7,0.0
2.0,2020-01-01T00:36:37.000,2020-01-01T00:44:04.000,1.0,1.33,1.0,N,43,239,2.0,7.5,0.5,0.5,0.0,0.0,0.3,11.3,2.5
2.0,2020-01-01T00:46:55.000,2020-01-01T00:51:55.000,3.0,0.71,1.0,N,239,238,1.0,5.5,0.5,0.5,1.3,0.0,0.3,10.6,2.5
2.0,2020-01-01T00:52:41.000,2020-01-01T01:08:48.000,2.0,2.31,1.0,N,238,141,1.0,12.5,0.5,0.5,3.26,0.0,0.3,19.56,2.5
2.0,2020-01-01T00:03:46.000,2020-01-01T00:14:47.000,1.0,2.89,1.0,N,229,145,1.0,11.5,0.5,0.5,3.06,0.0,0.3,18.36,2.5
2.0,2020-01-01T00:42:07.000,2020-01-01T00:49:28.000,1.0,1.06,1.0,N,161,137,1.0,6.5,0.5,0.5,4.0,0.0,0.3,14.3,2.5
2.0,2020-01-01T00:17:41.000,2020-01-01T00:28:27.000,1.0,2.11,1.0,N,140,236,1.0,10.0,0.5,0.5,2.07,0.0,0.3,15.87,2.5
2.0,2020-01-01T00:32:56.000,2020-01-01T00:41:19.000,1.0,1.52,1.0,N,236,43,1.0,8.5,0.5,0.5,1.0,0.0,0.3,13.3,2.5
2.0,2020-01-01T00:44:51.000,2020-01-01T00:53:30.000,1.0,1.97,1.0,N,163,75,2.0,8.5,0.5,0.5,0.0,0.0,0.3,12.3,2.5
2.0,2020-01-01T00:05:05.000,2020-01-01T00:14:54.000,1.0,2.29,1.0,N,236,162,1.0,9.0,0.5,0.5,1.0,0.0,0.3,13.8,2.5
2.0,2020-01-01T00:25:06.000,2020-01-01T00:29:07.000,1.0,1.62,1.0,N,229,263,1.0,6.5,0.5,0.5,2.58,0.0,0.3,12.88,2.5
2.0,2020-01-01T00:30:19.000,2020-01-01T00:33:26.000,1.0,0.98,1.0,N,263,141,1.0,5.0,0.5,0.5,1.32,0.0,0.3,10.12,2.5
2.0,2020-01-01T00:40:24.000,2020-01-01T00:52:17.000,1.0,2.7,1.0,N,140,238,1.0,11.5,0.5,0.5,3.0,0.0,0.3,18.3,2.5
2.0,2020-01-01T00:53:10.000,2020-01-01T01:46:40.000,1.0,6.39,1.0,N,238,211,1.0,34.0,0.5,0.5,7.56,0.0,0.3,45.36,2.5
1.0,2020-01-01T00:14:09.000,2020-01-01T00:34:04.000,3.0,1.4,1.0,N,233,186,2.0,12.5,3.0,0.5,0.0,0.0,0.3,16.3,2.5
1.0,2020-01-01T00:44:31.000,2020-01-01T01:11:20.000,2.0,5.2,1.0,N,249,112,1.0,19.0,3.0,0.5,5.75,6.12,0.3,34.67,2.5
2.0,2020-01-01T00:12:04.000,2020-01-01T00:16:39.000,1.0,0.75,1.0,N,249,125,1.0,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5
2.0,2020-01-01T00:22:52.000,2020-01-01T00:35:39.000,1.0,2.01,1.0,N,211,137,1.0,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
2.0,2020-01-01T00:37:00.000,2020-01-01T00:58:24.000,1.0,7.21,1.0,N,137,158,1.0,23.5,0.5,0.5,5.46,0.0,0.3,32.76,2.5
2.0,2020-01-01T00:41:55.000,2020-01-01T01:25:10.000,2.0,4.26,1.0,N,68,261,2.0,27.5,0.5,0.5,0.0,0.0,0.3,31.3,2.5
2.0,2020-01-01T00:43:13.000,2020-01-01T01:40:35.000,5.0,8.6,1.0,N,68,223,1.0,39.5,0.5,0.5,5.2,0.0,0.3,48.5,2.5
1.0,2020-01-01T00:13:26.000,2020-01-01T00:42:31.000,3.0,2.7,1.0,N,249,48,1.0,18.0,3.0,0.5,2.0,0.0,0.3,23.8,2.5
1.0,2020-01-01T00:46:09.000,2020-01-01T01:00:08.000,1.0,3.4,1.0,N,142,41,1.0,12.5,3.0,0.5,4.05,0.0,0.3,20.35,2.5
