locationid,latitude,longitude,zone,borough
220,40.88184930807984,-73.91076089177298,Spuyten Duyvil/Kingsbridge,Bronx
221,40.62023024721676,-74.072363266337,Stapleton,Staten Island
222,40.64671811250597,-73.882917796064,Starrett City,Brooklyn
223,40.778406838788975,-73.90583210697467,Steinway,Queens
224,40.731710157444574,-73.9769805471532,Stuy Town/Peter Cooper Village,Manhattan
225,40.688714833719835,-73.93012296976369,Stuyvesant Heights,Brooklyn
226,40.73524693575397,-73.92653049129719,Sunnyside,Queens
227,40.64153479500538,-74.0029480543899,Sunset Park East,Brooklyn
228,40.65359300851703,-74.00996120455362,Sunset Park West,Brooklyn
229,40.75657342350862,-73.96499770371872,Sutton Place/Turtle Bay North,Manhattan
230,40.759816935371866,-73.98419649030515,Times Sq/Theatre District,Manhattan
231,40.71857653319885,-74.00726407589688,TriBeCa/Civic Center,Manhattan
232,40.71529952203663,-73.98302174649305,Two Bridges/Seward Park,Manhattan
233,40.74912352340265,-73.9699792454683,UN/Turtle Bay South,Manhattan
234,40.74023673754262,-73.99045769686899,Union Sq,Manhattan
235,40.853709874599296,-73.91638080821232,University Heights/Morris Heights,Bronx
236,40.78043963903396,-73.95701007786707,Upper East Side North,Manhattan
237,40.76861401615748,-73.96563559607029,Upper East Side South,Manhattan
238,40.79178334130001,-73.9730312061259,Upper West Side North,Manhattan
239,40.78402467184409,-73.97873165557294,Upper West Side South,Manhattan
240,40.89477155956185,-73.88053624317433,Van Cortlandt Park,Bronx
241,40.87601241184217,-73.89587874426599,Van Cortlandt Village,Bronx
242,40.84965337341624,-73.85104022621752,Van Nest/Morris Park,Bronx
243,40.85863885680896,-73.93579384854495,Washington Heights North,Manhattan
244,40.84119423491348,-73.9407750505543,Washington Heights South,Manhattan
245,40.62838711805502,-74.10068245787151,West Brighton,Staten Island
246,40.752411745817085,-74.00381236916317,West Chelsea/Hudson Yards,Manhattan
247,40.829182377133655,-73.9225137751614,West Concourse,Bronx
248,40.83468053974887,-73.87330004839919,West Farms/Bronx River,Bronx
249,40.73461066592281,-74.00196544933564,West Village,Manhattan
250,40.83260904544631,-73.8498621515554,Westchester Village/Unionport,Bronx
251,40.61958467181592,-74.12367427378986,Westerleigh,Staten Island
252,40.78831685242009,-73.81570278183855,Whitestone,Queens
253,40.76039185525365,-73.8417522517167,Willets Point,Queens
254,40.8833098569225,-73.85822977434634,Williamsbridge/Olinville,Bronx
255,40.71879249996845,-73.9572880106519,Williamsburg (North Side),Brooklyn
256,40.7109789727406,-73.95933183283628,Williamsburg (South Side),Brooklyn
257,40.65347764098074,-73.97963519429607,Windsor Terrace,Brooklyn
258,40.68997247030925,-73.85493641775041,Woodhaven,Queens
259,40.899069792867955,-73.85631852356715,Woodlawn/Wakefield,Bronx
260,40.74660451712384,-73.90684115099866,Woodside,Queens
261,40.7091199762481,-74.01264388666944,World Trade Center,Manhattan
262,40.77668091965627,-73.94514228025622,Yorkville East,Manhattan
263,40.77876628142981,-73.95100879518704,Yorkville West,Manhattan
